row_id,class_id
test_pen1_tur_cam1_20250920_174649_0000,3
test_pen1_tur_cam1_20250920_174649_0001,1
test_pen1_tur_cam1_20250920_174649_0002,1
test_pen1_tur_cam1_20250920_174649_0003,1
test_pen1_tur_cam1_20250920_174649_0004,0
test_pen1_tur_cam1_20250920_174649_0005,1
test_pen1_tur_cam1_20250920_174649_0006,1
test_pen1_tur_cam1_20250920_174649_0007,1
test_pen1_tur_cam1_20250920_174649_0008,0
test_pen1_tur_cam1_20250921_050022_0000,0
test_pen1_tur_cam1_20250921_050022_0001,1
test_pen1_tur_cam1_20250921_050022_0002,1
test_pen1_tur_cam1_20250921_050022_0003,4
test_pen1_tur_cam1_20250921_050022_0004,0
test_pen1_tur_cam1_20250921_050022_0005,0
test_pen1_tur_cam1_20250921_050022_0006,0
test_pen1_tur_cam1_20250921_050022_0007,0
test_pen1_tur_cam1_20250921_050022_0008,3
test_pen1_tur_cam1_20250921_051726_0000,3
test_pen1_tur_cam1_20250921_051726_0001,4
test_pen1_tur_cam1_20250921_051726_0002,4
test_pen1_tur_cam1_20250921_051726_0003,3
test_pen1_tur_cam1_20250921_051726_0004,4
test_pen1_tur_cam1_20250921_051726_0005,1
test_pen1_tur_cam1_20250921_051726_0006,4
test_pen1_tur_cam1_20250921_051726_0007,3
test_pen1_tur_cam1_20250921_051726_0008,3
test_pen1_tur_cam1_20250921_052427_0000,1
test_pen1_tur_cam1_20250921_052427_0001,3
test_pen1_tur_cam1_20250921_052427_0002,1
test_pen1_tur_cam1_20250921_052427_0003,1
test_pen1_tur_cam1_20250921_052427_0004,4
test_pen1_tur_cam1_20250921_052427_0005,4
test_pen1_tur_cam1_20250921_052427_0006,1
test_pen1_tur_cam1_20250921_052427_0007,4
test_pen1_tur_cam1_20250921_052427_0008,4
test_pen1_tur_cam1_20250921_054433_0000,1
test_pen1_tur_cam1_20250921_054433_0001,4
test_pen1_tur_cam1_20250921_054433_0002,3
test_pen1_tur_cam1_20250921_054433_0003,1
test_pen1_tur_cam1_20250921_054433_0004,1
test_pen1_tur_cam1_20250921_054433_0005,3
test_pen1_tur_cam1_20250921_054433_0006,4
test_pen1_tur_cam1_20250921_054433_0007,0
test_pen1_tur_cam1_20250921_054433_0008,1
test_pen1_tur_cam1_20250921_054934_0000,1
test_pen1_tur_cam1_20250921_054934_0001,1
test_pen1_tur_cam1_20250921_054934_0002,3
test_pen1_tur_cam1_20250921_054934_0003,1
test_pen1_tur_cam1_20250921_054934_0004,3
test_pen1_tur_cam1_20250921_054934_0005,3
test_pen1_tur_cam1_20250921_054934_0006,1
test_pen1_tur_cam1_20250921_054934_0007,0
test_pen1_tur_cam1_20250921_054934_0008,4
test_pen1_tur_cam1_20250921_055235_0000,3
test_pen1_tur_cam1_20250921_055235_0001,4
test_pen1_tur_cam1_20250921_055235_0002,1
test_pen1_tur_cam1_20250921_055235_0003,1
test_pen1_tur_cam1_20250921_055235_0004,3
test_pen1_tur_cam1_20250921_055235_0005,3
test_pen1_tur_cam1_20250921_055235_0006,0
test_pen1_tur_cam1_20250921_055235_0007,1
test_pen1_tur_cam1_20250921_055235_0008,0
test_pen1_tur_cam1_20250921_055435_0000,4
test_pen1_tur_cam1_20250921_055435_0001,1
test_pen1_tur_cam1_20250921_055435_0002,1
test_pen1_tur_cam1_20250921_055435_0003,1
test_pen1_tur_cam1_20250921_055435_0004,3
test_pen1_tur_cam1_20250921_055435_0005,0
test_pen1_tur_cam1_20250921_055435_0006,3
test_pen1_tur_cam1_20250921_055435_0007,1
test_pen1_tur_cam1_20250921_055435_0008,0
test_pen1_tur_cam1_20250921_055537_0000,4
test_pen1_tur_cam1_20250921_055537_0001,4
test_pen1_tur_cam1_20250921_055537_0002,1
test_pen1_tur_cam1_20250921_055537_0003,3
test_pen1_tur_cam1_20250921_055537_0004,4
test_pen1_tur_cam1_20250921_055537_0005,3
test_pen1_tur_cam1_20250921_055537_0006,0
test_pen1_tur_cam1_20250921_055537_0007,1
test_pen1_tur_cam1_20250921_055537_0008,0
test_pen1_tur_cam1_20250921_062444_0000,4
test_pen1_tur_cam1_20250921_062444_0001,1
test_pen1_tur_cam1_20250921_062444_0002,2
test_pen1_tur_cam1_20250921_062444_0003,3
test_pen1_tur_cam1_20250921_062444_0004,3
test_pen1_tur_cam1_20250921_062444_0005,0
test_pen1_tur_cam1_20250921_062444_0006,4
test_pen1_tur_cam1_20250921_062444_0007,3
test_pen1_tur_cam1_20250921_062444_0008,0
